City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
286,Inuvik,CA,68.3499,-133.7218,65.16,68,75,8.05,shower rain
287,Fort Nelson,CA,58.8053,-122.7002,71.19,40,20,6.91,few clouds
288,Svetlyy,RU,54.675,20.1347,73.45,94,61,4.88,broken clouds
289,Lompoc,US,34.6391,-120.4579,88.12,76,75,9.22,broken clouds
290,Auki,SB,-8.7676,160.7034,75.43,90,25,3.06,scattered clouds
291,Udachnyy,RU,66.4167,112.4,66.6,65,9,6.64,clear sky
292,Wamba,NG,8.9333,8.6,72.5,87,100,2.24,overcast clouds
293,Sistranda,NO,63.7256,8.834,71.56,91,85,12.64,overcast clouds
294,Kidal,ML,18.4411,1.4078,90.59,41,50,7.99,scattered clouds
295,Le Port,RE,-20.9373,55.2919,71.6,79,100,15.14,overcast clouds
296,Eyl,SO,7.9803,49.8164,80.67,65,88,22.1,overcast clouds
297,Bengkulu,ID,-3.8004,102.2655,75.09,85,48,3.91,scattered clouds
298,Magadan,RU,59.5667,150.8,52.43,64,100,10.69,overcast clouds
299,Marmashen,AM,40.8349,43.7779,63.28,59,20,8.05,few clouds
300,Marathon,US,44.9,-89.7668,80.13,80,1,4.61,clear sky
301,Andenes,NO,69.3143,16.1194,53.47,93,75,26.46,broken clouds
302,Tura,IN,25.5198,90.2201,74.7,93,93,6.15,moderate rain
303,Torbay,CA,47.6666,-52.7314,75.97,85,75,13.8,broken clouds
304,Termoli,IT,41.9888,14.9895,88.27,43,0,4.92,clear sky
305,San Vicente,AR,-26.6167,-54.1333,51.6,35,2,7.94,clear sky
306,Surab,PK,28.4914,66.2585,83.62,20,100,7.83,overcast clouds
307,Santa Lucia,ES,27.9117,-15.5407,69.12,65,75,21.85,broken clouds
308,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,86,75,16.11,broken clouds
309,Kil,SE,59.5072,13.314,66.09,88,38,6.91,scattered clouds
310,Berlevag,NO,70.8578,29.0864,48.0,93,90,3.44,overcast clouds
