City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
367,Naze,JP,77.67,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
369,Roura,GF,84.11,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
372,Grand-Lahou,CI,76.15,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
376,Bonthe,SL,77.81,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
379,Dhidhdhoo,MV,82.74,overcast clouds,6.8833,73.1,Dhidhoo beach
380,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
384,Kombissiri,BF,82.38,overcast clouds,12.0656,-1.3375,Mitibkieta Annexe
387,Tevaitoa,PF,76.75,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
389,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
393,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
395,Pyapon,MM,78.89,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
400,San Juan De Los Morros,VE,89.62,few clouds,9.9115,-67.3538,Hotel La Montaña
401,Lacombe,CA,75.74,clear sky,52.4668,-113.7353,Greenway Inn
404,Fukue,JP,79.11,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
407,Puerto Carreno,CO,84.83,broken clouds,6.189,-67.4859,Casa Hotel Victoria
411,Fenyi,CN,77.56,clear sky,27.8112,114.6681,Jinhao Hotel
413,Santa Rosa,PH,80.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
415,Markivka,UA,78.98,light rain,49.5229,39.5705,Дом
419,Camuy,PR,87.17,few clouds,18.4838,-66.8449,Serenity Hair Design & Spa
422,North Myrtle Beach,US,88.34,few clouds,33.816,-78.68,Avista Resort
423,Kaga,JP,75.69,broken clouds,36.2997,136.3145,Onsen Meisou club Fujiya Ryokan
425,Kieta,PG,77.9,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
427,Meulaboh,ID,76.1,overcast clouds,4.1363,96.1285,Kost Pria
429,Westport,US,83.75,broken clouds,41.1415,-73.3579,The Westport Inn
432,Weyburn,CA,80.82,overcast clouds,49.6668,-103.8511,Perfect Inns & Suites
436,Carlagan,PH,82.87,overcast clouds,14.975,122.0456,Cabatagan Island
